month;weekday;day;hour;season;workday;temperature;r_temperature;wind;humidity;dew_point;pressure;qtd
1;6;6;3;Winter;1;1;-3;17;81;-2;1013;2
1;6;6;4;Winter;1;1;-5;24;60;-6;1015;3
1;6;6;5;Winter;1;0;-4;16;64;-6;1015;50
1;6;6;6;Winter;1;0;-5;16;61;-7;1016;150
1;6;6;7;Winter;1;0;-6;22;56;-8;1017;439
1;6;6;8;Winter;1;0;-5;21;55;-8;1018;787
1;6;6;9;Winter;1;0;-5;20;55;-8;1018;406
1;6;6;10;Winter;1;1;-5;23;51;-9;1020;159
1;6;6;11;Winter;1;0;-6;25;45;-10;1020;210
1;6;6;12;Winter;1;1;-5;26;42;-11;1020;266
1;6;6;13;Winter;1;0;-5;23;43;-11;1020;249
1;6;6;14;Winter;1;-1;-6;19;46;-11;1021;224
1;6;6;15;Winter;1;-1;-6;19;44;-12;1022;279
1;6;6;16;Winter;1;-1;-6;16;43;-12;1023;406
1;6;6;17;Winter;1;-1;-6;18;43;-12;1024;721
1;6;6;18;Winter;1;-2;-7;20;45;-12;1024;500
1;6;6;19;Winter;1;-2;-8;19;47;-12;1024;258
1;6;6;20;Winter;1;-2;-7;16;47;-12;1024;161
1;6;6;21;Winter;1;-2;-7;16;47;-12;1025;119
1;6;6;22;Winter;1;-2;-8;18;45;-13;1025;92
1;6;6;23;Winter;1;-2;-9;23;43;-13;1025;58
1;7;7;0;Winter;0;-3;-10;25;43;-14;1026;42
1;7;7;1;Winter;0;-3;-9;21;45;-13;1026;39
1;7;7;2;Winter;0;-3;-9;20;46;-13;1026;21
1;7;7;3;Winter;0;-4;-10;22;48;-13;1026;7
1;7;7;4;Winter;0;-4;-11;23;55;-12;1026;4
1;7;7;5;Winter;0;-4;-11;27;52;-13;1025;5
1;7;7;6;Winter;0;-4;-11;24;52;-13;1024;9
1;7;7;7;Winter;0;-4;-11;24;54;-12;1026;57
1;7;7;8;Winter;0;-4;-10;20;54;-12;1027;99
1;7;7;9;Winter;0;-5;-11;24;64;-11;1026;135
1;7;7;10;Winter;0;-4;-11;26;69;-9;1025;197
1;7;7;11;Winter;0;-5;-12;26;72;-9;1024;183
1;7;7;12;Winter;0;-6;-13;23;85;-8;1024;115
1;7;7;13;Winter;0;-6;-13;21;86;-8;1023;90
1;7;7;14;Winter;0;-5;-12;21;74;-9;1023;98
1;7;7;15;Winter;0;-4;-12;27;59;-11;1023;130
1;7;7;16;Winter;0;-4;-11;25;52;-13;1023;126
1;7;7;17;Winter;0;-5;-12;21;52;-13;1024;111
1;7;7;18;Winter;0;-5;-12;20;51;-14;1024;106
1;7;7;19;Winter;0;-6;-14;31;53;-14;1025;64
1;7;7;20;Winter;0;-6;-15;33;54;-14;1025;63
1;7;7;21;Winter;0;-7;-15;26;53;-15;1027;35
1;7;7;22;Winter;0;-7;-14;21;53;-15;1027;37
1;7;7;23;Winter;0;-7;-13;18;51;-16;1027;36
1;1;8;0;Winter;0;-7;-14;22;49;-16;1027;33
1;1;8;1;Winter;0;-8;-16;24;51;-16;1028;19
1;1;8;2;Winter;0;-8;-16;22;51;-16;1028;12
1;1;8;3;Winter;0;-8;-15;16;47;-17;1029;7
1;1;8;5;Winter;0;-9;-17;20;48;-18;1030;1
1;1;8;6;Winter;0;-9;-17;23;48;-18;1032;8
1;1;8;7;Winter;0;-9;-15;13;48;-18;1033;22
1;1;8;8;Winter;0;-8;-15;16;49;-17;1033;68
1;1;8;9;Winter;0;-7;-16;28;46;-17;1034;71
1;1;8;10;Winter;0;-6;-15;35;43;-17;1034;144
1;1;8;11;Winter;0;-5;-14;37;38;-18;1033;143
1;1;8;12;Winter;0;-4;-13;36;34;-18;1033;194
1;1;8;13;Winter;0;-4;-11;29;33;-18;1033;176
1;1;8;14;Winter;0;-4;-12;32;31;-19;1034;149
1;1;8;15;Winter;0;-5;-13;34;32;-19;1035;193
1;1;8;16;Winter;0;-6;-14;29;34;-19;1036;165
1;1;8;17;Winter;0;-6;-13;20;35;-19;1036;149
1;1;8;18;Winter;0;-6;-13;18;35;-19;1037;102
1;1;8;19;Winter;0;-6;-12;18;35;-19;1038;83
1;1;8;20;Winter;0;-6;-12;15;36;-19;1039;68
1;1;8;21;Winter;0;-7;-14;17;38;-19;1040;48
1;1;8;22;Winter;0;-7;-13;15;38;-19;1041;48
1;1;8;23;Winter;0;-7;-13;13;41;-19;1041;17
1;2;9;0;Winter;1;-8;-13;10;45;-18;1041;6
1;2;9;1;Winter;1;-8;-13;9;45;-18;1041;2
1;2;9;2;Winter;1;-8;-13;10;47;-18;1041;4
1;2;9;4;Winter;1;-8;-12;7;49;-17;1041;4
1;2;9;5;Winter;1;-8;-12;7;49;-17;1041;55
1;2;9;6;Winter;1;-8;-12;7;52;-16;1041;167
1;2;9;7;Winter;1;-7;-10;6;50;-16;1041;396
1;2;9;8;Winter;1;-7;-10;6;49;-16;1042;608
1;2;9;9;Winter;1;-7;-10;6;47;-16;1042;306
1;2;9;10;Winter;1;-6;-10;10;47;-15;1042;125
1;2;9;11;Winter;1;-4;-10;17;43;-15;1041;127
1;2;9;12;Winter;1;-4;-10;19;41;-15;1040;177
1;2;9;13;Winter;1;-3;-8;18;37;-16;1039;157
1;2;9;14;Winter;1;-2;-8;22;36;-15;1038;146
1;2;9;15;Winter;1;-3;-9;23;36;-16;1038;171
1;2;9;16;Winter;1;-4;-10;20;40;-15;1039;321
1;2;9;17;Winter;1;-4;-10;19;42;-15;1038;635
1;2;9;18;Winter;1;-5;-11;19;44;-15;1039;529
1;2;9;19;Winter;1;-5;-11;18;48;-14;1039;310
1;2;9;20;Winter;1;-5;-11;17;50;-14;1038;172
1;2;9;21;Winter;1;-4;-10;19;50;-13;1038;113
1;2;9;22;Winter;1;-5;-11;18;52;-13;1037;56
1;2;9;23;Winter;1;-5;-11;16;54;-13;1037;30
1;3;10;0;Winter;1;-4;-10;17;54;-12;1036;21
1;3;10;1;Winter;1;-4;-10;17;54;-12;1036;8
1;3;10;2;Winter;1;-5;-11;14;54;-13;1036;2
1;3;10;4;Winter;1;-4;-10;17;54;-12;1035;1
1;3;10;5;Winter;1;-4;-9;13;54;-12;1035;51
1;3;10;6;Winter;1;-4;-8;12;58;-11;1035;187
1;3;10;7;Winter;1;-4;-9;14;59;-11;1035;473
1;3;10;8;Winter;1;-3;-8;16;59;-10;1035;774
1;3;10;9;Winter;1;-2;-7;14;55;-11;1036;365
1;3;10;10;Winter;1;-1;-6;16;48;-11;1035;146
1;3;10;11;Winter;1;0;-5;18;47;-10;1034;153
1;3;10;12;Winter;1;1;-4;18;48;-9;1032;192
1;3;10;13;Winter;1;2;-3;19;42;-10;1030;216
1;3;10;14;Winter;1;2;-3;19;40;-10;1030;192
1;3;10;15;Winter;1;2;-3;20;43;-9;1029;222
1;3;10;16;Winter;1;2;-3;19;44;-9;1028;400
1;3;10;17;Winter;1;2;-3;22;47;-8;1028;712
1;3;10;18;Winter;1;2;-3;22;50;-7;1028;600
1;3;10;19;Winter;1;2;-3;22;52;-7;1027;347
1;3;10;20;Winter;1;3;-3;32;50;-7;1025;238
1;3;10;21;Winter;1;4;-2;38;46;-7;1023;149
1;3;10;22;Winter;1;5;0;30;47;-6;1023;101
1;3;10;23;Winter;1;5;1;23;51;-5;1023;56
1;4;11;0;Winter;1;5;1;25;59;-3;1022;19
1;4;11;1;Winter;1;4;-1;28;81;1;1023;5
1;4;11;2;Winter;1;4;-1;26;81;1;1023;4
1;4;11;3;Winter;1;5;1;20;81;2;1023;1
1;4;11;4;Winter;1;6;4;7;76;2;1024;4
1;4;11;5;Winter;1;4;1;14;81;1;1025;53
1;4;11;6;Winter;1;4;2;9;81;1;1025;231
1;4;11;7;Winter;1;3;1;11;85;1;1026;595
1;4;11;8;Winter;1;4;2;10;83;2;1027;1011
1;4;11;9;Winter;1;6;4;11;79;2;1027;483
1;4;11;10;Winter;1;8;6;14;70;3;1027;227
1;4;11;11;Winter;1;10;8;12;63;3;1026;258
1;4;11;12;Winter;1;11;10;8;59;3;1025;329
1;4;11;13;Winter;1;12;12;9;56;4;1025;299
1;4;11;14;Winter;1;13;13;12;55;4;1025;309
1;4;11;15;Winter;1;11;10;12;63;4;1024;352
1;4;11;16;Winter;1;10;8;12;67;4;1024;532
1;4;11;17;Winter;1;9;7;13;77;5;1024;987
1;4;11;18;Winter;1;9;7;17;79;6;1024;783
1;4;11;19;Winter;1;8;5;18;85;6;1024;259
1;4;11;20;Winter;1;7;5;15;93;6;1023;172
1;4;11;21;Winter;1;8;5;14;93;7;1023;152
1;4;11;22;Winter;1;9;7;18;90;8;1023;124
1;4;11;23;Winter;1;10;9;21;88;8;1023;78
1;5;12;0;Winter;1;11;11;21;88;9;1022;30
1;5;12;1;Winter;1;11;11;22;88;9;1021;14
1;5;12;2;Winter;1;11;11;26;88;9;1021;4
1;5;12;3;Winter;1;11;11;29;88;9;1021;5
1;5;12;4;Winter;1;11;11;25;92;10;1020;9
1;5;12;5;Winter;1;12;12;29;94;11;1020;54
1;5;12;6;Winter;1;13;13;36;89;11;1020;237
1;5;12;7;Winter;1;13;13;27;88;11;1020;663
1;5;12;8;Winter;1;14;14;27;84;11;1021;1078
1;5;12;9;Winter;1;14;14;29;80;11;1021;473
1;5;12;10;Winter;1;17;17;34;71;12;1020;234
1;5;12;11;Winter;1;18;18;33;65;11;1019;279
1;5;12;12;Winter;1;19;19;35;59;11;1018;366
1;5;12;13;Winter;1;21;21;34;52;11;1017;391
1;5;12;14;Winter;1;22;22;38;50;11;1017;362
1;5;12;15;Winter;1;22;22;44;50;11;1017;495
1;5;12;16;Winter;1;21;21;40;52;11;1017;682
1;5;12;17;Winter;1;20;20;34;55;11;1018;1170
1;5;12;18;Winter;1;19;19;30;58;11;1019;967
1;5;12;19;Winter;1;19;19;29;60;11;1019;596
1;5;12;20;Winter;1;19;19;32;60;11;1019;389
1;5;12;21;Winter;1;18;18;29;62;11;1020;301
1;5;12;22;Winter;1;17;17;26;66;11;1020;181
1;5;12;23;Winter;1;17;17;25;68;11;1020;111
1;6;13;0;Winter;1;18;18;13;64;11;1022;60
1;6;13;1;Winter;1;16;16;10;72;11;1023;43
1;6;13;2;Winter;1;15;15;12;77;11;1023;13
1;6;13;3;Winter;1;15;15;11;78;11;1023;4
1;6;13;4;Winter;1;14;14;4;82;11;1025;10
1;6;13;5;Winter;1;15;15;24;69;9;1026;67
1;6;13;6;Winter;1;14;14;23;64;8;1027;194
1;6;13;7;Winter;1;12;12;29;66;6;1029;603
1;6;13;8;Winter;1;11;11;26;64;5;1030;1054
1;6;13;9;Winter;1;11;11;29;58;3;1031;505
1;6;13;10;Winter;1;11;11;31;54;2;1033;243
1;6;13;11;Winter;1;12;12;26;44;0;1033;301
1;6;13;12;Winter;1;11;11;20;43;-1;1032;384
1;6;13;13;Winter;1;12;12;17;41;-2;1032;407
1;6;13;14;Winter;1;12;12;20;38;-2;1033;432
1;6;13;15;Winter;1;12;12;20;38;-2;1034;487
1;6;13;16;Winter;1;11;9;25;39;-3;1035;687
1;6;13;17;Winter;1;9;6;24;40;-4;1035;898
1;6;13;18;Winter;1;8;5;23;42;-4;1036;635
1;6;13;19;Winter;1;8;4;24;43;-4;1037;409
1;6;13;20;Winter;1;7;4;20;45;-4;1037;197
1;6;13;21;Winter;1;7;4;17;42;-5;1038;169
1;6;13;22;Winter;1;7;3;21;39;-6;1039;138
1;6;13;23;Winter;1;6;3;21;43;-5;1038;91
1;7;14;0;Winter;0;6;3;16;52;-4;1038;64
1;7;14;1;Winter;0;5;2;13;55;-3;1038;55
1;7;14;2;Winter;0;5;3;10;56;-3;1038;37
1;7;14;3;Winter;0;4;2;8;61;-3;1038;12
1;7;14;4;Winter;0;3;1;9;68;-2;1038;4
1;7;14;5;Winter;0;3;0;13;70;-2;1038;5
1;7;14;6;Winter;0;3;0;11;62;-4;1038;21
1;7;14;7;Winter;0;2;2;2;64;-4;1038;44
1;7;14;8;Winter;0;2;1;4;69;-3;1038;75
1;7;14;9;Winter;0;2;0;7;74;-2;1038;125
1;7;14;10;Winter;0;2;-1;10;83;-1;1038;144
1;7;14;11;Winter;0;1;-3;13;88;-1;1036;175
1;7;14;12;Winter;0;1;-2;10;90;-1;1035;135
1;7;14;13;Winter;0;2;1;2;96;1;1033;103
1;7;14;14;Winter;0;2;0;7;92;1;1032;145
1;7;14;15;Winter;0;2;0;7;93;1;1031;202
1;7;14;16;Winter;0;2;-1;10;93;1;1031;113
1;7;14;17;Winter;0;2;-1;9;93;1;1030;76
1;7;14;18;Winter;0;2;0;8;93;1;1030;63
1;7;14;19;Winter;0;2;0;6;93;1;1029;51
1;7;14;20;Winter;0;2;1;2;93;1;1029;42
1;7;14;21;Winter;0;2;0;7;93;1;1027;54
1;7;14;22;Winter;0;2;-1;12;98;2;1028;57
1;7;14;23;Winter;0;2;0;7;95;1;1027;62
1;1;15;0;Winter;0;3;2;2;89;1;1026;52
1;1;15;1;Winter;0;3;1;5;91;2;1026;35
1;1;15;2;Winter;0;3;0;12;93;2;1026;22
1;1;15;3;Winter;0;3;0;10;93;2;1026;13
1;1;15;4;Winter;0;3;0;12;93;2;1027;6
1;1;15;5;Winter;0;3;1;7;87;1;1027;7
1;1;15;6;Winter;0;3;0;11;87;1;1028;15
1;1;15;7;Winter;0;3;0;13;87;1;1029;38
1;1;15;8;Winter;0;4;1;13;82;1;1030;94
1;1;15;9;Winter;0;5;3;12;71;0;1030;202
1;1;15;10;Winter;0;7;4;15;46;-4;1030;351
1;1;15;11;Winter;0;8;5;16;38;-6;1029;405
1;1;15;12;Winter;0;8;5;15;34;-7;1028;519
1;1;15;13;Winter;0;9;7;10;30;-8;1027;643
1;1;15;14;Winter;0;9;8;8;29;-8;1027;577
1;1;15;15;Winter;0;8;7;8;32;-7;1028;615
1;1;15;16;Winter;0;8;6;9;34;-7;1028;521
1;1;15;17;Winter;0;7;5;10;38;-6;1029;351
1;1;15;18;Winter;0;6;4;9;49;-4;1029;260
1;1;15;19;Winter;0;6;4;8;51;-4;1029;166
1;1;15;20;Winter;0;5;4;6;56;-3;1030;164
1;1;15;21;Winter;0;5;4;6;61;-2;1030;130
1;1;15;22;Winter;0;4;4;3;61;-3;1030;95
1;1;15;23;Winter;0;4;3;5;64;-2;1030;67
1;2;16;0;Winter;0;5;4;2;60;-3;1030;43
1;2;16;1;Winter;0;5;3;5;63;-2;1030;26
1;2;16;2;Winter;0;4;1;11;67;-2;1031;9
1;2;16;3;Winter;0;4;2;8;63;-3;1031;13
1;2;16;4;Winter;0;4;2;9;61;-3;1031;4
1;2;16;5;Winter;0;3;1;8;64;-3;1031;14
1;2;16;6;Winter;0;3;2;2;65;-3;1031;40
1;2;16;7;Winter;0;3;3;0;70;-2;1032;111
1;2;16;8;Winter;0;4;3;6;66;-2;1032;200
1;2;16;9;Winter;0;4;3;6;65;-2;1032;220
1;2;16;10;Winter;0;5;4;7;60;-2;1032;243
1;2;16;11;Winter;0;6;3;12;57;-2;1031;330
1;2;16;12;Winter;0;6;3;14;59;-1;1030;377
1;2;16;13;Winter;0;7;4;13;61;0;1029;345
1;2;16;14;Winter;0;7;5;12;58;-1;1028;390
1;2;16;15;Winter;0;7;5;13;54;-1;1028;375
1;2;16;16;Winter;0;7;4;15;54;-1;1028;382
1;2;16;17;Winter;0;7;5;10;64;1;1028;375
1;2;16;18;Winter;0;6;4;10;67;1;1027;341
1;2;16;19;Winter;0;6;4;9;71;1;1027;222
1;2;16;20;Winter;0;6;4;10;71;1;1027;177
1;2;16;21;Winter;0;6;4;11;71;1;1027;119
1;2;16;22;Winter;0;6;4;11;74;2;1026;103
1;2;16;23;Winter;0;5;3;9;83;3;1026;26
1;3;17;0;Winter;1;5;3;9;90;3;1026;16
1;3;17;1;Winter;1;5;4;6;93;4;1024;8
1;3;17;2;Winter;1;5;4;6;93;4;1024;7
1;3;17;4;Winter;1;5;4;5;93;4;1023;9
1;3;17;5;Winter;1;5;5;1;93;4;1022;66
1;3;17;6;Winter;1;6;6;0;88;4;1022;228
1;3;17;7;Winter;1;6;5;4;87;4;1022;552
1;3;17;8;Winter;1;6;5;6;92;5;1022;870
1;3;17;9;Winter;1;6;4;8;93;5;1022;283
1;3;17;10;Winter;1;6;4;9;93;5;1021;56
1;3;17;11;Winter;1;8;5;14;93;7;1019;139
1;3;17;12;Winter;1;8;5;19;93;7;1018;190
1;3;17;13;Winter;1;8;6;15;93;7;1017;153
1;3;17;14;Winter;1;8;7;7;98;8;1017;81
1;3;17;15;Winter;1;9;6;12;98;8;1016;115
1;3;17;16;Winter;1;9;8;9;100;9;1015;339
1;3;17;17;Winter;1;10;9;9;94;9;1014;712
1;3;17;18;Winter;1;10;9;10;100;10;1014;685
1;3;17;19;Winter;1;10;10;3;97;10;1014;420
1;3;17;20;Winter;1;10;9;3;100;10;1013;300
1;3;17;21;Winter;1;11;11;7;100;11;1013;188
1;3;17;22;Winter;1;8;7;7;100;8;1013;100
1;3;17;23;Winter;1;8;7;9;100;8;1012;57
1;4;18;0;Winter;1;8;6;9;100;8;1011;16
1;4;18;1;Winter;1;8;6;12;100;8;1011;8
1;4;18;2;Winter;1;8;6;10;100;8;1012;6
1;4;18;3;Winter;1;8;7;8;100;8;1012;6
1;4;18;4;Winter;1;8;7;6;100;8;1012;4
1;4;18;5;Winter;1;8;7;6;100;8;1012;58
1;4;18;6;Winter;1;8;7;3;100;8;1012;211
1;4;18;7;Winter;1;8;7;5;100;8;1012;561
1;4;18;8;Winter;1;10;10;18;85;7;1013;923
1;4;18;9;Winter;1;11;11;22;75;7;1013;421
1;4;18;10;Winter;1;13;13;20;66;7;1014;250
1;4;18;11;Winter;1;15;15;27;57;6;1013;267
1;4;18;12;Winter;1;16;16;29;50;5;1013;365
1;4;18;13;Winter;1;15;15;29;50;4;1014;328
1;4;18;14;Winter;1;15;15;29;49;4;1014;287
1;4;18;15;Winter;1;14;14;24;48;3;1015;350
1;4;18;16;Winter;1;13;13;23;50;3;1016;475
1;4;18;17;Winter;1;12;12;24;56;3;1017;869
1;4;18;18;Winter;1;10;9;24;58;2;1017;737
1;4;18;19;Winter;1;9;6;22;60;2;1018;481
1;4;18;20;Winter;1;9;6;22;62;2;1018;307
1;4;18;21;Winter;1;9;6;23;62;2;1018;225
1;4;18;22;Winter;1;9;6;20;62;2;1018;129
1;4;18;23;Winter;1;9;7;17;62;2;1018;61
1;5;19;0;Winter;1;9;7;13;64;2;1018;34
1;5;19;1;Winter;1;8;6;11;66;2;1018;14
1;5;19;2;Winter;1;8;6;11;66;2;1018;10
1;5;19;4;Winter;1;6;3;15;76;2;1018;5
1;5;19;5;Winter;1;6;3;14;76;2;1018;49
1;5;19;6;Winter;1;8;5;10;72;3;1019;166
1;5;19;7;Winter;1;8;6;11;71;3;1019;462
1;5;19;8;Winter;1;9;6;15;68;3;1019;731
1;5;19;9;Winter;1;9;6;18;66;3;1019;432
1;5;19;10;Winter;1;10;7;20;64;3;1019;248
1;5;19;11;Winter;1;10;9;10;62;3;1018;290
1;5;19;12;Winter;1;11;11;8;59;3;1018;399
1;5;19;13;Winter;1;11;11;9;58;3;1017;369
1;5;19;14;Winter;1;11;11;9;58;3;1016;363
1;5;19;15;Winter;1;11;11;8;58;3;1016;461
1;5;19;16;Winter;1;10;8;10;63;3;1016;524
1;5;19;17;Winter;1;9;8;8;66;3;1016;793
1;5;19;18;Winter;1;8;7;7;69;3;1016;707
1;5;19;19;Winter;1;7;6;8;77;4;1017;469
1;5;19;20;Winter;1;6;5;7;85;4;1017;295
1;5;19;21;Winter;1;6;6;2;83;3;1016;271
1;5;19;22;Winter;1;5;5;0;88;4;1017;191
1;5;19;23;Winter;1;4;4;4;93;3;1016;93
1;6;20;0;Winter;0;4;4;3;93;3;1016;79
1;6;20;1;Winter;0;4;4;0;93;3;1016;52
1;6;20;2;Winter;0;5;5;0;93;4;1016;31
1;6;20;3;Winter;0;4;3;4;93;3;1015;19
1;6;20;4;Winter;0;4;2;8;93;3;1015;18
1;6;20;5;Winter;0;4;3;7;93;3;1015;59
1;6;20;6;Winter;0;5;5;1;88;3;1014;95
1;6;20;7;Winter;0;6;6;0;83;3;1015;178
1;6;20;8;Winter;0;6;6;0;81;3;1015;282
1;6;20;9;Winter;0;7;7;0;81;4;1015;269
1;6;20;10;Winter;0;8;8;0;77;4;1014;361
1;6;20;11;Winter;0;9;8;4;76;5;1013;409
1;6;20;12;Winter;0;9;7;11;80;6;1012;392
